Family,Name,QUALITY,SIZE,COUNTRY,COMMENTS,PRICE,
CLAUSILIIDAE,Incaglaia,huanucensis huanucensis,F++,,Peru,,7.00,
CLAUSILIIDAE,Parabalea ,gibbosula grisea,F++,11-13,Peru,,"20,00",
CLAUSILIIDAE,Phaedusa,sheridani shihi,F++,14-15,Taiwan,,"7,00",
CLAUSILIIDAE,Phaedusa,corticina,F++,22-23,Indonesia,,"2,00",
CLAUSILIIDAE,Steeriana,sorormajor,F++,17-19,Peru,,"12,00",
CLAUSILIIDAE,Steeriana,cajamarcana sororminor,F++,10-12,Peru,,"15,00",
CLAUSILIIDAE,Steeriana,cajamarcana cajamarcana,F++,10-11,Peru,,"10,00",
CLAUSILIIDAE,Stereophaedusa,tryoni miyakejimana,F++,13-15,Japan,,"7,00",
CLAUSILIIDAE,Stereophaedusa,japonica,F++,29,Japan,,"5,00",
CLAUSILIIDAE,Temesa,albocostata,F++,11-12,Peru,,"15,00",
CLAUSILIIDAE,Temesa,incarum,F++,14-15,Peru,,15.00,
CLAUSILIIDAE,Temesa,incarum,F++,14,Peru,juvenile,7.00,
CLAUSILIIDAE,Temesa,incarum,F,13,Peru,Dead collected,5.00,
CLAUSILIIDAE,Temesa,omissa,F+,11-17.,Peru,Fresh dead,"10,00",
CLAUSILIIDAE,Temesa,parcecostata,F+,10-12,Peru,From Huasqui,"15,00",
CLAUSILIIDAE,Temesa,bicolor,F++,10-12,Peru,,30.00,
CLAUSILIIDAE,Temesa,pilsbryi perfectecostata,F++,10-11,Peru,Seldom offered,"35,00",
CLAUSILIIDAE,Zilchiella ,grandiportus,F++,20-21,Peru," typical decollated, Minor chipped lip",10.00,
CLAUSILIIDAE,Clausilia,parvula,F++,7.5-8,France,,1.50,
CLAUSILIIDAE,Formosana,swinhoei,F++,29-32,Taiwan,Larges,"10,00",
CLAUSILIIDAE,Zaptyx,yaeyamensis,F++,9-10,Japan,,"6,00",
CLAVATORIDAE,Clavator,grandidieri,F++,82-84,Madagascar,,"8,00",
COCHLICELLIDAE,Cochlicella,acuta,F++,13+,Belgium,,1.50,
COCHLICELLIDAE,Cochlicella,acuta,F++,10-11,Spain,,1.50,
COCHLICELLIDAE,Monilearia,tubaeformis,F++,3.6-4,Canary Island,,6.00,
COCHLICELLIDAE,Cochlicella,barbara,F++,6.6-8,Spain,,"1,00",
COCHLICELLIDAE,Obelus,moderatus,F++,6-7,Canary Island,,"5,00",
COCHLICELLIDAE,Obelus,despreauxii,F++,7+,Canary Island,,"5,00",
COCHLICELLIDAE,Obelus,moratus,F++,7+,Canary Island,,"10,00",
COCHLICELLIDAE,Obelus,discogranulatus,F++,8.7-9,Canary Island,,"10,00",
COCHLICELLIDAE,Obelus,mirandae,F++,6-6.8,Canary Island,,"8,00",
COCHLICELLIDAE,Monilearia,mutipunctata,F++,3+,Canary Island,,"8,00",
COCHLICELLIDAE,Monilearia,tumulorum,F++,10-11,Canary Island,,"4,00",
COCHLICELLIDAE,Monilearia,monilifera,F++,6.5,Canary Island,,"4,00",
COCHLICELLIDAE,Monilearia,montigena,F++,8.5,Canary Island,,"6,00",
COCHLICOPIDAE,Cochlicopa,lubrica,F++,5-6,Germany,,1.50,
CYCLOPHORIDAE,Crossopoma ,cornuvenatorium,F++,37-39,Indonesia,larges,10.00,
CYCLOPHORIDAE,Cyclophorus,borneensis,F++,38-40,Indonesia,,6.00,
CYCLOPHORIDAE,Cyclophorus,fasciatus,F++,21-23,Indonesia,,3.5,
CYCLOPHORIDAE,Cyclophorus,linguiferus,F++,34-35,Philippines,,"3,00",
CYCLOPHORIDAE,Cyclophorus,moellendorffi,F++,23-24,Taiwan,W/O,5.00,
CYCLOPHORIDAE,Cyclophorus,perdix,F++,31-32,Indonesia,,4.00,
CYCLOPHORIDAE,Cyclophorus,rafflesi,F++,46-47,Indonesia,,6.00,
CYCLOPHORIDAE,Cyclophorus,reevei,F++,14-15,Philippines,,"4,00",
CYCLOPHORIDAE,Cyclophorus,sowerbyi,F++,8-9,Philippines,,1.5,
CYCLOPHORIDAE,Cyclotus,cf. Perezi,F+,21-24,Ecuador,W/O,"20,00",
CYCLOPHORIDAE,Cyclotus,cf.perezi,F+,25-27,Ecuador,W/O,"25,00",
CYCLOPHORIDAE,Theobaldius,dautzenbergi,F++,21-22,Indonesia,,4.00,
DIPLOMMATINIDAE,Alycaeus,somnueki (White),F++,12-13,Thailand,W/O,"8,00",
DIPLOMMATINIDAE,Alycaeus,somnueki (yellow),F++,12-13,Thailand,W/O,"8,00",
DIPLOMMATINIDAE,Alycaeus,somnueki (orange),F++,11+,Thailand,W/O,15.00,
DIPLOMMATINIDAE,Diplommatina,shikokuensis,F++,3-4,Japan,,"6,00",
DIPLOMMATINIDAE,Cochlostoma,septemspirale,F++,7-7.5,Germany,,2.5,
DIPLOMMATINIDAE,Diplommatina,yonakunijimana,F++,5,Japan,,"6,00",
,,,,,,,"7,00",
DYAKIIDAE,Asperitas,melanoraphe,F++,30,Indonesia,,,
ELLOBIIDAE,Pythia,scarabaeus,F++,20.4,Papua New Guinea,,"4,00",
ELLOBIIDAE,Pythia,scarabaeus,F+,16,Papua New Guinea,"Slightly juvenile, minor chipped lip","2,00",
ENIDAE,Napaeus,obesatus,F++,18+,Canary Island,,"7,00",
ENIDAE,Napaeus,moquinianus,F++,13.7+,Canary Island,,"7,00",
ENIDAE,Subzebrinus,subflammulatus,F++,10+,Kazakhstan,Uncommon,"10,00",
FERUSSACIIDAE,Amphorella,melampoides,F++,10,Madeira,,"5,00",
FERUSSACIIDAE,Cecilioides,acicula,F++,3-4,France,,1.50,
FERUSSACIIDAE,Ferussacia,folliculus,F++,8-9,Spain,,0.50,
FERUSSACIIDAE,sculptiferussacia,clausiliaeformis,F++,10,Canary Island,RARE,"18,00",
HELICARIONIDAE,Westracystis,lissus,F++,4-5,Australia,,3.00,
HELICARIONIDAE,Dendotrochus ,helicinoides,F++,12-14,Solomon Island,,"8,00",
HELICARIONIDAE,Xesta ,luctuosa butonensis,F++,36-37,Indonesia,,"7,00",
HELICELLIDAE,Xerotrichia,apicina,F++,4-6,Spain,,"1,00",
HELICELLIDAE,Cernuella,virgata,F++,10-11,Spain,,"1,00",
HELICELLIDAE,Pseudotachea,splendida,F++,15.6-17,Spain,,1.50,
HELICIDAE,Theba,geminata,F++,14-17,Canary Island,,"3,00",
HELICIDAE,Theba,pisana,F++,15-17,Spain,,2x$1,
HELICIDAE,Murella,muralis,F++,15-17,Italy,,"3,00",
HELICIDAE,Atlasica ,tildiana,F++,19-20,Morocco,,"3,00",
HELICIDAE,Arianta,arbustorum,F++,18-19,Swiss,,"2,00",
HELICIDAE,Isognomostoma,Isognomostoma,F++,9-10,Slovakia,,"2,00",
HELICIDAE,Hemicycla,psathyra temperata,F++,28,Canary Island,,"7,00",
HELICIDAE,Hemicycla,psathyra ,F++,21,Canary Island,,"6,00",
HELICIDAE,Theba,pisana arietina,F++,13-14,Spain,,"2,00",
HELICIDAE,Iberus,marmoratus,F++,17-18,Spain,,"2,00",
HELICIDAE,Hemicycla,quadricincta subaucta,F++,16-17,Canary Island,,"10,00",
HELICIDAE,Otala,lactea lactea,F++,23.5-26,Spain,,"2,00",
HELICIDAE,Otala,punctata,F++,33-34,Spain,,"2,00",
HELICIDAE,Xerotrichia,arguineguinensis,F++,8+,Canary Island,Rare,"10,00",
HELICIDAE,Geomitra ,delphinula,F+,17,Madeira Isl.,Subfossil,"6,00",
HELICIDAE,Helicigona,faustina,F++,19+,Slovaquia,,"5,00",
HELICINIDAE,Helicina,arenicola,F++,6+,Mexico,Uncommon,"10,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,cerrateae,F++,28,Peru,"Very RARE, nice sample","45,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,cerrateae,F+,28.2,Peru,"Juvenile, chipped lip. VERY RARE, fresh dead","15,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,cf. Haasi,F++,23-26,Peru,,20.00,
HELMINTHOGLYPTIDAE,Epiphragmophora,cf. Haasi,F,27.7,Peru,"Fresh dead, with two small hole, good colour",6.00,
HELMINTHOGLYPTIDAE,Epiphragmophora,cf. Haasi,F,23,Peru,broken lip,7.00,
HELMINTHOGLYPTIDAE,Epiphragmophora,clausomphalus,F++,30-31,Peru,,20.00,
HELMINTHOGLYPTIDAE,Epiphragmophora,clausomphalus,F++,28.6,Peru,"Juvenile, chipped lip. VERY RARE, fresh dead","10,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,clausomphalus,F+,28.5,Peru,Dead collected,"5,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,Sp.1,F++,25-26,Peru,"From Celendin, Rare, ",20.00,
HELMINTHOGLYPTIDAE,Epiphragmophora,sp2,F++,22-23,Peru,,15.00,
HELMINTHOGLYPTIDAE,Epiphragmophora,sp3,F++,27-29,Peru,"Dark brown, From San Pedro de Cajas, very rare","35,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,sp4,F+,25.6,Peru,"Juvenile, chipped lip. VERY RARE, fresh dead","10,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,sp4,F++,26.3,Peru,,"30,00",
HELMINTHOGLYPTIDAE,Xerarionta,kelletii,F++,20-21,USA,,"4,00",
HELMINTHOGLYPTIDAE,Epiphragmophora,incarum,F+,21+,Peru,"Juvenile, chipped lip. VERY RARE","10,00",
HYDROCENIDAE,Georissa,purchasi,F++,1.5+,New Zealand,,"8,00",
HYDROCENIDAE,Limbrorelia,exquisita,F+,6-7,Lord Howe Island,,7.00,
HYGROMIIDAE,Discula,bulweri,F++,10-11,Madeira,,"6,00",
HYGROMIIDAE,Leptaxis,undata,F++,18-20,Madeira,,"5,00",
HYGROMIIDAE,Candidula,gigaxii,F++,9-10,Spain,,"2,00",
HYGROMIIDAE,Trochoida,elegans,F++,8+,Spain,,"2,00",
HYGROMIIDAE,Monacha,cartusiana,F++,15-16,Spain,,"2,00",
HYGROMIIDAE,Canariella,eutropis,F++,15+,Canary Island,,"5,00",
HYGROMIIDAE,Canariella,pontelirae,F++,10.7-11,Canary Island,,"7,00",
HYGROMIIDAE,Leptaxis,undata,F++,20-21,Madeira,,"4,00",
MEGALOBULIMIDAE,Megalobulimus,ovatus,F++,105-110,Brasil,,"15,00",
MEGALOBULIMIDAE,Megalobulimus,cf. Conicus,F,79,Brasil,first whorl missing,"4,00",
MEGALOBULIMIDAE,Megalobulimus,lichtensteini,F++,70-80,Peru,,"10,00",
MEGALOMASTOMIDAE,Farcimen,superbum superbum,F++,25+,Cuba,,"8,00",
ODONTOSTOMIDAE,Spixia,philippi,F++,20-22,Argentina,,"8,00",
ODONTOSTOMIDAE,Tomigerus,pilsbryi,F+,13.8,Brasil,Fresh dead,"4,00",
ODONTOSTOMIDAE,Anctus,laminiferus,F++,,Brasil,,8.00,
ODONTOSTOMIDAE,Anostoma,octodentatum,F+,35-36,Brasil,Fresh dead,10.00,
ODONTOSTOMIDAE,Spixia,spixii,F++,24-25,Argentina,,"5,00",
ODONTOSTOMIDAE,Plagiodontes,daedaleus,F++,24-25,Argentina,,"5,00",
ORTHALICIDAE,Bilamelliferus,tscudii,F++,7-8.,Peru,,3.00,
ORTHALICIDAE,Bostryx (Pseudoperanaeus),bermudezae,F++,20+,Peru,,6.00,
ORTHALICIDAE,Bostryx,ceroplasta,F++,16-18,Peru,,"7,00",
ORTHALICIDAE,Bostryx (Pseudoperanaeus),cylindricus,F+,,Peru,"fresh dead, Very rare, only 1","10,00",
ORTHALICIDAE,Bostryx,cf. arcuatus,F++,15-18,Peru,Nice shell,12.00 ,
ORTHALICIDAE,Bostryx,Cf. Agueroi,F++,17-20,Peru,,8.00,
ORTHALICIDAE,Bostryx,chagualensis,F++,10-12.,Peru,,"4,00",
ORTHALICIDAE,Bpstryx,conspersus,F++,17-18,Peru,,"6,00",
ORTHALICIDAE,Bostryx,edmundi,F++,21-24,Peru,"Rare, Ribbed form","20,00",
ORTHALICIDAE,Bostryx,eremothauma,F++,8-10,Chile,"fresh dead, never live collected, top quality, Nice species","8,00",
ORTHALICIDAE,Bostryx,eremothauma,F++,9-10,Chile,"Long last whorl, only 1","35,00",
ORTHALICIDAE,Bostryx,eremothauma,F++,14 mm.,Chile,Huge,20.00,
ORTHALICIDAE,Bostryx,erythrostoma,F,12-15.,Chile,dead collected,1.00,
ORTHALICIDAE,Bostryx,haasi haasi,F++,16-18,Peru,,7.00,
ORTHALICIDAE,Bostryx,haasi minor,F+,10-12.,Peru,,"4,00",
ORTHALICIDAE,Bostryx,huanucensis,F++,18-20,Peru,,5.00,
ORTHALICIDAE,Bostryx,huarazensis,F++,14-17,Peru,,5.00,
ORTHALICIDAE,Bostryx,holostoma,F++,8-10,Chile,"Like fresh dead, Extinct species, Nice sculpture","10,00",
ORTHALICIDAE,Bostryx,ignobilis,F++,16-20,Peru,,4.00,
ORTHALICIDAE,Bostryx,ignobilis,F++,21+,Peru,,6.00,
ORTHALICIDAE,Bostryx,laurenti,F++,23-24,Peru,"Uncommon, only 1","20,00",
ORTHALICIDAE,Bostryx,leucostictus,F++,7-9,Chile,"Fresh dead, Rare, maybe extinct.",7.00,
ORTHALICIDAE,Bostryx (Pseudoperanaeus),lizarasoae,F++,,Peru,Uncommon,"10,00",
ORTHALICIDAE,Bostryx,imeldae costifer,F++,7-8.,Peru,"uncoiled species, very nice",20.00,
ORTHALICIDAE,Bostryx,inaquosum,F++,10-12,Chile,"Fresh dead, May be extinct",5.00,
ORTHALICIDAE,Bostryx,megomphalus,F++,13-16,Peru,,8.00,
ORTHALICIDAE,Bostryx,modestus angelmacdonaldoi,F++,15-17,Peru,,4.00,
ORTHALICIDAE,Bostryx,obliquiportus,F++,18.6,Peru,,"20,00",
ORTHALICIDAE,Bostryx,peruvianus,F++,16-19,Peru,,5.00,
ORTHALICIDAE,Bostryx,pictus,F++,15-17,Peru,,3.00,
ORTHALICIDAE,Bostryx,primigenius,F++,7-9,Peru,Uncommon,"10,00",
ORTHALICIDAE,Bostryx,planissimus,F++,14-15,Peru,"Nice shell, Only 1",35.00,
ORTHALICIDAE,Bostryx,planissimus,F+,15-16,Peru,"Tiny hole near umbilico, Only 1",20.00,
ORTHALICIDAE,Bostryx,pruinosus,F++,14-15,Chile,,7.00,
ORTHALICIDAE,Bostryx,pumilio,F++,10-12.,Chile,"Fresh dead, May be extinct","3,00",
ORTHALICIDAE,Bostryx,pygmaeus costatus,F++,6-8.,Peru,"Last whorl uncoiled species, very nice",20.00,
ORTHALICIDAE,Bostryx,pygmaeus costatus,F++,5-7.,Peru,normal form,5.00,
ORTHALICIDAE,Bostryx,rodriguezae,F++,23-24,Peru,,"10,00",
ORTHALICIDAE,Bostryx,scabiosus,F++,13-15,Chile,Fresh dead,3.00,
ORTHALICIDAE,Bostryx,solutus,F++,8-10.,Peru,"Last whorl uncoiled species, very nice","10,00",
ORTHALICIDAE,Bostryx,sp.34,F++,17-20,Peru,"From Churin, pattern like B. Peruvianus",4.00,
ORTHALICIDAE,Bostryx,sp.41,F++,,Peru,"elongated, From Tarmatambo",5.00,
ORTHALICIDAE,Bostryx,sp.41,F++,12-13,Peru,"elongated, From Tarmatambo",3.00,
ORTHALICIDAE,Bostryx,sp.50,F++,16-19,Peru,From Acolla,5.00,
ORTHALICIDAE,Bostryx ,sp11,F++,18-20,Peru,"From La Union, Large",4.00,
ORTHALICIDAE,Bostryx ,sp11,F++,13-17,Peru,,3.00,
ORTHALICIDAE,Bostryx ,sp41,F++,21-22,Peru,"elongated, From Tarmatambo",5.00,
ORTHALICIDAE,Bostryx,sp.51,F++,25-28,Peru,"Nice large bostryx, From Huaraz",10.00,
ORTHALICIDAE,Bostryx,Sp.52,F++,20-21,Peru,From Chavin.,5.00,
ORTHALICIDAE,Bostryx,sp.54,F++,20+,Peru,"From Pacarenga, white","7,00",
ORTHALICIDAE,Bostryx,sp.54,F++,20+,Peru,"From Pacarenga,Brown longitudinal lines","5,00",
ORTHALICIDAE,Bostryx,sp.54,F++,20+,Peru,"From Pacarenga,Brown radial lines","6,00",
ORTHALICIDAE,Bostryx,sp56,F++,7-9,Peru,"From San Pedro de Cajas, fresh dead","10,00",
ORTHALICIDAE,Bostryx,sp.60 (new species),F++,7-8,Chile,,"15,00",
ORTHALICIDAE,Bostryx,superbus,F++,25-28,Peru,Variable pattern,"15,00",
ORTHALICIDAE,Bostryx ,superbus,F++,30+,Peru,,"20,00",
ORTHALICIDAE,Bostryx ,tumidulus,F++,17-20,Peru,Light brown ,4.00,
ORTHALICIDAE,Bostryx ,tumidulus,F++,17-20,Peru,Radial lines on last whorl,4.00,
ORTHALICIDAE,Bostryx,turritus,F++,20+,Peru,,4.00,
ORTHALICIDAE,Bostryx ,voithianus,F++,15-18,Chile,"very rare, ","10,00",
ORTHALICIDAE,Bostryx ,williamsi,F++,20-25,Peru,uncommon,7.00,
ORTHALICIDAE,Bostryx ,williamsi,F++,27-30,Peru,"Very large, apex missing",10.00,
ORTHALICIDAE,Bothriembryon,barretti,F++,23-24,Australia,,4.00,
ORTHALICIDAE,Bothriembryon,dux,F++,47-50,Australia,Larges,7.00,
ORTHALICIDAE,Bothriembryon,jacksoni,F++,19-20,Australia,,4.00,
ORTHALICIDAE,Bothriembryon,kingii,F++,19-20,Australia,,4.00,
ORTHALICIDAE,Bothriembryon,leeuwinensis,F++,23-24,Australia,,3.00,
ORTHALICIDAE,Bothriembryon,mastersi,F++,13-15,Australia,,5.00,
ORTHALICIDAE,Bothriembryon,melo,F++,23-24,Australia,,5.00,
ORTHALICIDAE,Bulimulus,irregularis,F++,20-25,Ecuador,,5.00,
ORTHALICIDAE,Bulimulus,quitensis,F++,20-25,Ecuador,,2.00,
ORTHALICIDAE,Bulimulus,guadalupensis,F++,14-15,Puerto Rico,,"3,00",
ORTHALICIDAE,Bulimulus,sporadicus,F++,21-22,Paraguay,"Uncommon locality, larges","15,00",
ORTHALICIDAE,Drymaeus,acobambensis,F++,28-31,Peru,,10.00,
ORTHALICIDAE,Drymaeus,cf.acobambensis,F++,30+,Peru,,"10,00",
ORTHALICIDAE,Drymaeus,celendinensis,F++,30-33,Peru,Rare,"20,00",
ORTHALICIDAE,Drymaeus,cf. punctatus,F++,20-24,Peru,,"10,00",
ORTHALICIDAE,Drymaeus,cf.punctatus,F++,30,Peru,One scar,"7,00",
ORTHALICIDAE,Drymaeus,cf.punctatus,F++,28-29,Peru,,"15,00",
ORTHALICIDAE,Drymaeus,mexicanus primularis,F++,26-27,Peru,"Larges, brown & white radial bands in all the shell","10,00",
ORTHALICIDAE,Drymaeus,mexicanus primularis,F++,30+,Peru,"White shells with some radial bands on the last whorl, Huges samples","15,00",
ORTHALICIDAE,Drymaeus,mexicanus primularis,F++,23-24,Peru,"brown and white bands, two yellow bands on last whorl.","8,00",
ORTHALICIDAE,Drymaeus,sp.2,F++,35,Peru,"Typical missing protoconch, rare and nice","35,00",
ORTHALICIDAE,Drymaeus,sp.2,F++,27.8,Peru,"Juvenile with protoconch, Rare and nice","25,00",
ORTHALICIDAE,Drymaeus,sp.41,F++,20,Peru,"Juvenile, Very nice species, from Leymebamba","10,00",
ORTHALICIDAE,Drymaeus,sp4,F++,22-23,Peru,,"15,00",
ORTHALICIDAE,Drymaeus,sp.4,F++,25,Peru,,"25,00",
ORTHALICIDAE,Drymaeus,sp4,F++,28.6,Peru,Large,"35,00",
ORTHALICIDAE,Drymaeus,vexillum,F+,27-30,Peru,banded on last whorl,4.00,
ORTHALICIDAE,Drymaeus,vexillum,F++,30-33,Peru,cream,10.00,
ORTHALICIDAE,Drymaeus,vexillum ,F++,30-32,Peru,Nice shells with radial lines on all the shell,8.00,
ORTHALICIDAE,Drymaeus,vexillum morbidus,F++,27-31,Peru,Orange,8.00,
ORTHALICIDAE,Drymaeus ,vexillum  tigris,F++,27-30,Peru,,4.00,
ORTHALICIDAE,Drymaeus,c. laxostilus,F++,,,,,
ORTHALICIDAE,Llaucanianus,haasi,F++,30-33,Peru,,"12,00",
ORTHALICIDAE,Llaucanianus,haasi,F++,25-28,Peru,,"10,00",
ORTHALICIDAE,Naesiotus ,cerrateae,F++,9-10,Peru,Uncommon,"10,00",
ORTHALICIDAE,Naesiotus ,cerrateae,F++,11-12,Peru,Uncommon,"15,00",
ORTHALICIDAE,Naesiotus ,fernandezae,F++,10-12.,Peru,,"7,00",
ORTHALICIDAE,Naesiotus ,subcostatus chamayensis ,F++,11-12,Peru,,"10,00",
ORTHALICIDAE,Naesiotus ,sp1,F++,10-13.,Peru,From Huasqui,4.00,
ORTHALICIDAE,Naesiotus ,sp2,F++,11-12,Peru,"san Pedro de Cajas, only 2","8,00",
ORTHALICIDAE,Naesiotus ,sp3,F++,9-10,Peru,"Near Palcamayo, white and elongated shell","15,00",
ORTHALICIDAE,Naesiotus ,sp41,F++,7-8,Peru,san Pedro de Cajas,"10,00",
ORTHALICIDAE,Naesiotus ,tarmensis,F++,11-12,Peru,Uncommon,10.00,
ORTHALICIDAE,Neopetraeus,altoperuvianus,F++,40-43,Peru,"uncommon, Only 2 samples.","20,00",
ORTHALICIDAE,Neopetraeus,catamarcanus,F++,25-29,Peru,,"15,00",
ORTHALICIDAE,Neopetraeus,catamarcanus,F+,30-33,Peru,,"20,00",
ORTHALICIDAE,Neopetraeus ,cremnobates,F+,27-30,Peru,light grey form,10.00,
ORTHALICIDAE,Neopetraeus ,cremnobates,F++,28-32,Peru,"banded form, minor chipped lip","15,00",
ORTHALICIDAE,Neopetraeus ,lobbi,F+,40-43,Peru,,10.00,
ORTHALICIDAE,Neopetraeus ,millegranus,F++,27-30,Peru,,"15,00",
ORTHALICIDAE,Neopetraeus,tessellatus,F+,30-33,Peru,,"20,00",
ORTHALICIDAE,Peronaeus,ischnuss,F+,18-19,Chile,,"10,00",
ORTHALICIDAE,Peronaeus,pupiformis,F++,14-18,Chile,Fresh dead,"5,00",
ORTHALICIDAE,Plectostylus,araucanus,F++,36,Chile,"Dark blotched, very rare Species",40.00,
