Family,Name,QUALITY,SIZE,COUNTRY,COMMENTS,PRICE,
ORTHALICIDAE,Plectostylus,broderipi,F++,45,Chile,"dead collected. Huge, good pattern",20.00,
ORTHALICIDAE,Plectostylus,broderipi,F++,32-36,Chile,"dark pattern form, Very RARE",25.00,
ORTHALICIDAE,Plectostylus,broderipi,F++,28,Chile,"dark pattern form, Very RARE",15.00,
ORTHALICIDAE,Plectostylus,broderipi,F++,39,Chile,"light colour form, rare live collected",20.00,
ORTHALICIDAE,Plectostylus,broderipi Form: elongata,F++,25-28,Chile,"fresh dead, rare",15.00,
ORTHALICIDAE,Plectostylus,broderipi Form: elongata,F++,32-34,Chile,"fresh dead, rare",20.00,
ORTHALICIDAE,Plectostylus,broderip Form: elongata,F++,23,Chile,"Nice juvenile, fresh dead",10.00,
ORTHALICIDAE,Plectostylus,cf chilensis,F++,35-39,Chile,From Los Molles,8.00,
ORTHALICIDAE,Plectostylus,cf.chilensis,F++,42-43,Chile,"From Los Molles, huge",12.00,
ORTHALICIDAE,Plectostylus,cf. Chilensis,F++,25-29,Chile,From Cabildo,7.00,
ORTHALICIDAE,Plectostylus,cf. Chilensis,F++,34-37,Chile,From El Canelo,10.00,
ORTHALICIDAE,Plectostylus,cf. Coquimbensis,F++,25-28,Chile,"may be one dwarf form of Pl. coquimbensis, nice , habitat destroyed",10.00,
ORTHALICIDAE,Plectostylus,cf. Punctulifer,F++,17-20,Chile,From Lampa,6.00,
ORTHALICIDAE,Plectostylus,cf.prolatus,F++,35-39,Chile,From Lampa,20.00,
ORTHALICIDAE,Plectostylus,cf.prolatus,F++,40-44,Chile,From Lampa,25.00,
ORTHALICIDAE,Plectostylus,cf.prolatus,F++,47-48,Chile,Huge,35.00,
ORTHALICIDAE,Plectostylus,chilensis,F++,30-32,Chile,"From Villa Alemana, nice samples",7.00,
ORTHALICIDAE,Plectostylus,chilensis  1,F++,20-26,Chile,"Dwarf form, nice, from Pichilemu",4.00,
ORTHALICIDAE,Plectostylus,chilensis  2,F++,33-35,Chile,"Litoral Central , HUGE",6.00,
ORTHALICIDAE,Plectostylus,chilensis 2,F++,24-26,Chile,,3.00,
ORTHALICIDAE,Plectostylus,chilensis4,F++,29-31,Chile,From Huentelauquen,7.00,
ORTHALICIDAE,Plectostylus,chilensis6,F++,26-32,Chile,From Pichilemu,8.00,
ORTHALICIDAE,Plectostylus,chilensis7,F++,31-36,Chile,From Quilimari,8.00,
ORTHALICIDAE,Plectostylus,coquimbensis,F++,32-36,Chile,,10.00,
ORTHALICIDAE,Plectostylus,coquimbensis,F++,37-39,Chile,,12.00,
ORTHALICIDAE,Plectostylus,coquimbensis,F++,40-44,Chile,,16.00,
ORTHALICIDAE,Plectostylus,coquimbensis,F++,45-46,Chile,,20.00,
ORTHALICIDAE,Plectostylus,coquimbensis,F++,46.8,Chile,,25.00,
ORTHALICIDAE,Plectostylus,coquimbensis,F++,46.4,Chile,,22.00,
ORTHALICIDAE,Plectostylus,punctulifer,F++,24-29,Chile,,"6,00",
ORTHALICIDAE,Plectostylus,reflexus,F++,30-32,Chile,"Dotted pattern, uncommon",10.00,
ORTHALICIDAE,Plectostylus,reflexus,F++,30-33,Chile,"normal pattern, Larges",7.00,
ORTHALICIDAE,Plectostylus,reflexus,F++,35++,Chile,Huge,15.00,
ORTHALICIDAE,Plectostylus,reflexus,F++,20-29,Chile,Dwarf,"5,00",
ORTHALICIDAE,Plectostylus,sp,F++,31-37,Chile,From Pichidangui,7.00,
ORTHALICIDAE,Plectostylus,sp.,F++,20-24,Chile,"like Pl. ochseni, nice small shells",10.00,
ORTHALICIDAE,Plectostylus,sp.,F++,37,Chile,From Rungue,"8,00",
ORTHALICIDAE,Plectostylus,sp2,F++,32-35,Chile,Cuesta La dormida,8.00,
ORTHALICIDAE,Plectostylus,sp5,F++,19-24,Chile,Like a small Pl. peruvianus,8.00,
ORTHALICIDAE,Plectostylus,variegatus,F++,33-35,Chile,,"20,00",
ORTHALICIDAE,Plectostylus,variegatus,F++,40-44,Chile,UNCOMMON,"25,00",
ORTHALICIDAE,Plectostylus,variegatus,F+,48-49,Chile,UNCOMMON,"30,00",
ORTHALICIDAE,Plectostylus,sp,F++,37-41,Peru,"From Culipran, Fresh dead",6.00,
ORTHALICIDAE,Scutalus,versicolor lachayensis,F++,26-28,Peru,From old collection,10.00,
ORTHALICIDAE,Scutalus,sp2,F++,24-29,Peru,From La union,4.00,
ORTHALICIDAE,Scutalus,costifer  naggsi,F++,20-23,Peru,,"6,00",
ORTHALICIDAE,Scutalus,cretaceus,F++,30-35,Peru,White form,6.00,
ORTHALICIDAE,Scutalus,cretaceus,F++,30-35,Peru,brown colour form,6.00,
ORTHALICIDAE,Scutalus,chiletensis granulatus,F++,33-37,Peru,,6.00,
ORTHALICIDAE,Scutalus,sp1,F++,32-36,Peru,"From Laraos, white","10,00",
ORTHALICIDAE,Scutalus,sp3,F+,25-27,Peru,From around Tarma,8.00,
ORTHALICIDAE,Scutalus,sp.4,F++,34-35,Peru,"Fresh dead, White colour.","7,00",
ORTHALICIDAE,Scutalus,sp5,F++,27-30,Peru,"White shell, From Pacarenga, uncommon","15,00",
ORTHALICIDAE,Scutalus,sp.6,F++,20-22,Peru,Near Palcamayo,"7,00",
ORTHALICIDAE,Scutalus,sp.8,F++,,Peru,From San Pedro de Cajas,"10,00",
ORTHALICIDAE,Scutalus,alaudus,F++,25-29,Peru,,8.00,
ORTHALICIDAE,Scutalus,alaudus,F++,30-34,Peru,Huge,"10,00",
ORTHALICIDAE,Scutalus,alaudus,F++,28-30,Peru,brown colour form,10.00,
ORTHALICIDAE,Scutalus,alaudus F: hendeensis,F++,33-35,Peru,,"10,00",
ORTHALICIDAE,Scutalus,alaudus F: hendeensis,F++,36-37,Peru,,"12,00",
ORTHALICIDAE,Scutalus,macedoi,F++,17-20,Peru,,"7,00",
ORTHALICIDAE,Scutalus,culmineus zilchi,F++,23-27,Ecuador,,"10,00",
ORTHALICIDAE,Simpulopsis,colmeroi,F++,10-11,Ecuador,"Only 1, rare","20,00",
ORTHALICIDAE,Simpulopsis,colmeroi,F++,13-14,Peru,"Only 1, rare","25,00",
ORTHALICIDAE,Thaumastus,bambamarcaensis,F++,30-37,Peru,,7.00,
ORTHALICIDAE,Thaumastus,bitaeniatus,F++,36-39,Peru,,"7,00",
ORTHALICIDAE,Thaumastus,bitaeniatus,F++,40-44,Peru,,"10,00",
ORTHALICIDAE,Thaumastus,porphyreus cajamarcanus,F++,35-39,Peru,,"15,00",
ORTHALICIDAE,Thaumastus,sangoae,F++,67-70,Peru,Only 2,"18,00",
ORTHALICIDAE,Thaumastus,tarmensis,F++,30-32,Peru,"Huge, all brown",10.00,
ORTHALICIDAE,Thaumastus,tarmensis,F++,25,Peru,All brown,6.00,
ORTHALICIDAE,Thaumastus,tarmensis,F++,20-23,Peru,"very dark brown, From near Tarma","6,00",
ORTHALICIDAE,Thaumastus,tarmensis,F+,27-28,Peru,"very dark brown, From near Tarma","8,00",
ORTHALICIDAE,Xenothauma,baronii,F+,24-26,Peru,"ALBINE, minor chipped lip","15,00",
ORTHALICIDAE,Xenothauma,baronii,F++,20-25,Peru,minor chpped lip,10.00,
ORTHALICIDAE,Liguus ,fasciatus crenatus,F++,32-35,Cuba,,"7,00",
ORTHALICIDAE,Liguus,fasciatus achatinus,F++,37-40,Cuba,,"7,00",
ORTHALICIDAE,Liguus,fasciatus achatinus,F++,47-50,Cuba,,"12,00",
ORTHALICIDAE,Paeniscutalus,tenuis,F++,28-30,Peru,,"10,00",
ORTHALICIDAE,Paeniscutalus,tenuis,F++,33-34,Peru,Larges,"15,00",
ORTHALICIDAE,Bostryx,derelictus,F+,19-22,Chile,"Extinct species, good samples","6,00",
PHYSIDAE,Stenophysa,marmorata,F++,10-11,Uruguay,,"1,00",
PLACOSTYLIDAE,Aspastus,miltocheilus,F++,57,Solomon Island,,"12,00",
PLECTOPYLIDAE,Plectopylis,revoluta,F++,17-18,Malaysia,,"10,00",
POMATIASIDAE,Tudorella,ferruginea,F++,18,Spain,,"4,00",
POMATIASIDAE,Pomatias,elegans,F++,11-13,Spain,W/O,"1,00",
POMATIIDAE,Abbotella,sosuaensis,F++,6-6.5,Dominican Republic ,Uncommon,"10,00",
POMATIIDAE,Parachondria,riisei,F++,12-13,Puerto Rico,,"10,00",
PUNCTIDAE,Laoma,mariae,F++,3+,New Zealand,,"10,00",
PUNCTIDAE,Paralaoma,lateumbilicata,F++,1.5+,New Zealand,,"8,00",
PUNCTIDAE,Phrixgnathus,liratulus,F++,3.3-4,New Zealand,,"10,00",
PUNCTIDAE,Phrixgnathus,phrynia,F++,2+,New Zealand,,"10,00",
PUNCTIDAE,Phrixgnathus,poecilostricta,F++,2.5-3,New Zealand,,"10,00",
PUNCTIDAE,Punctid,new sp. 61,F++,3+,New Zealand,,"15,00",
PUPINIDAE,Cytora,chiltoni,F++,2+,New Zealand,,"7,00",
PUPINIDAE,Liarea,aupouria,F++,8.5-9,New Zealand,,"8,00",
PUPINIDAE,Liarea,hochstetteri,F++,6+,New Zealand,,"10,00",
PUPINIDAE,Pupinella,rufa,F++,9-9.5,Japan,,"3,00",
SOLAROPSIDAE,Solaropsis ,selenostoma,F++,24.6,Ecuador,Uncommon,"30,00",
SPHINTEROCHILIDAE,Sphinterochila ,candidissima,F++,21+,Spain,,"1,00",
SPIRAXIDAE,Euglandina,cf. Angusta,F+,43,Peru,"Drilled in the penultim whorl, Very rare, very good sample","30,00",
SPIRAXIDAE,Obeliscus,riparius,F+,25-30,Ecuador,,10.00,
SPIRAXIDAE,Obeliscus,riparius,F+,31-35,Ecuador,,15.00,
SPIRAXIDAE,Obeliscus,riparius,F+,36-39,Ecuador,,20.00,
STROPHOCHEILIDAE,Chiliborus,bridgesi,F+,17-19,Chile,"Typical locality, yiny chipped lip",20.00,
STROPHOCHEILIDAE,Chiliborus,bridgesi,F++,20-22,Chile,"large, new locality,  Maybe a suspecies, TOP QUALITY","30,00",
STROPHOCHEILIDAE,Chiliborus,chilensis,F++,30-35,Chile,,4.00,
STROPHOCHEILIDAE,Chiliborus,new sp.1,F++,27-29,Chile,,15.00,
STROPHOCHEILIDAE,Chiliborus,pachychilus,F,30-35,Chile,fresh dead,4.00,
STROPHOCHEILIDAE,Chiliborus,rosaceus seneri,F+,55-60,Chile,all the time with growth line,"15,00",
STROPHOCHEILIDAE,Chiliborus,rosaceus seneri,F+,61-65,Chile,Larges,"18,00",
STROPHOCHEILIDAE,Chiliborus,rosaceus particeps,F+,60-67,Chile,"Uncommon shells,white lip",25.00,
STROPHOCHEILIDAE,Chiliborus,rosaceus particeps,F++,66-69,Chile,brown lip,"25,00",
STROPHOCHEILIDAE,Chiliborus,rosaceus particeps,F++,70-73,Chile,"Uncommon shells,white lip,Larges",30.00,
STROPHOCHEILIDAE,Chiliborus,rasaceus rosaceus,F+,56-60,Chile,,"15,00",
STROPHOCHEILIDAE,Chiliborus,sp5,F++,40-44,Chile,From Cabildo,15.00,
STROPHOCHEILIDAE,Chiliborus,sp6,F++,44-49,Chile,dwarf Str. rosaceus seneri?,"12,00",
SUBULINIDAE,Pseudoglandina,agitata,F++,,Peru,,3.00,
SUCCINEIDAE,Succinea,peruviana,F++,10-12,Peru,,2.00,
Systrophiidae.,Systrophia,ammoniformis,F+,6-7,Peru,fresh dead,"5,00",
Systrophiidae.,Systrophia,ammoniformis,F+,9-10,Peru,fresh dead,"8,00",
Systrophiidae.,Systrophia,ammoniformis,F+,12.2,Peru,fresh dead,"12,00",
Systrophiidae.,Systrophia,angigyra,F++, 10-12,Peru,fresh dead,10.00,
Systrophiidae.,Systrophia,angigyra,F++,8-9,Peru,fresh dead,"7,00",
Systrophiidae.,Systrophia,cereonitens,F+,12-13,Peru,fresh dead,5.00,
Systrophiidae.,Systrophia,decagyra,F++,10-13,Peru,Live collected,4.00,
Systrophiidae.,Systrophia,peruviana,F++,8-10.,Peru,,2.00,
Systrophiidae.,Systrophia,obvulata,F+,10-13,Peru,"uncommon, fresh dead",10.00,
Systrophiidae.,Systrophia,planispira,F+,16-20,Peru,"very rare, large Systrophia, fresh dead",20.00,
Systrophiidae.,Systrophia,sp,F++,3-4.,Peru,From Acolla,4.00,
TRISSEXODONTIDAE,Caracolina,lenticula,F++,7-8,Spain,,0.50,
TRUNCATELLIDAE,Truncatella,pfeifferi,F++,5-6,Japan,,2.00,
TRUNCATELLIDAE,Truncatella,pfeifferi,F++,8-9,Philippines,,"2,00",
UROCOPTIDAE,Brachypodella,portoricensis,F++,10.5+,Puerto Rico,Uncommon,"20,00",
UROCOPTIDAE,Urocoptis,ambigua f: magna,F++,21.7,Jamaica,,"10,00",
UROCOPTIDAE,Urocoptis,ambigua f: magna,F++,28,Jamaica,,"14,00",
XANTHONYCIDAE,Polymita ,picta roseolimbata minor,F++,20-23,Cuba,white pattern,8.00,
XANTHONYCIDAE,Polymita ,picta roseolimbata minor,F++,21-23,Cuba,Light brown shells,8.00,
XANTHONYCIDAE,Polymita ,picta roseolimbata ,F++,20-22,Cuba,yellow colour,8.00,
XANTHONYCIDAE,Polymita ,picta roseolimbata virgata,F++,18-18,Cuba,white pattern,8.00,
XANTHONYCIDAE,Polymita ,picta roseolimbata virgata,F++,15-17,Cuba,yellow pattern,8.00,
XANTHONYCIDAE,Polymita ,picta picta,F++,,Cuba,variable pattern,8.00,
XANTHONYCIDAE,Polymita ,venusta,F++,12-15,Cuba,,4.00,
XANTHONYCIDAE,Polymita ,muscarum,F++,17-19,Cuba,light brown with two dark brown radial lines,9.00,
XANTHONYCIDAE,Polymita ,nigrolimbata,F++,21-23,Cuba,"Nice yellow shell with one dark band,",10.00,
XANTHONYCIDAE,Polymita ,versicolor reticulella,F++,19-21,Cuba,,10.00,
XANTHONYCIDAE,Polymita ,versicolor reticulata,F++,20-21,Cuba,,10.00,
XANTHONYCIDAE,Polymita ,picta iolimbata iosaturata,F++,24-26,Cuba,,12.00,
XANTHONYCIDAE,Polymita ,picta iolimbata iofasciata,F++,23-25,Cuba,,12.00,
XANTHONYCIDAE,Polymita ,picta obscurata,F++,27-29,Cuba,Larges,15.00,
ZONITIDAE,Aegopis ,verticillus,F++,25,Czech Republic,,3.50,
AMPULLARIIDAE,Pomacea,columellaris,F++,30-33,Peru,,4.50,
AMPULLARIIDAE,Pomacea,columellaris,F++,30-33,Peru,reddish brown inside of outer lip,6.00,
AMPULLARIIDAE,Pomacea,urceus,F,92,Colombia,"Trimmed lip, seldom offered","15,00",
AMPULLARIIDAE,Pomacea,urceus,F,100,Colombia,"Trimmed lip, seldom offered","20,00",
AMPULLARIIDAE,Pomacea,urceus,F,105,Colombia,"Broken lip near columella, trimmed lip, ","10,00",
AMNICOLIDAE,Littoridina,coquimbensis,F++,,Chile,,2.00,
AMNICOLIDAE,Littoridina,sp1,F++,3-4,Chile,El Tabo,2.00,
AMNICOLIDAE,Littoridina,sp2,F++,3-4,Chile,From Laguna Verde,2.00,
AMNICOLIDAE,Littoridina,sp3,F++,5-6,Chile,From Quilimari,2.00,
AMNICOLIDAE,Littoridina,sp4,F++,3-4,Chile,From Cobquecura,2.00,
AMNICOLIDAE,Littoridina,sp.5,F++,5-6,Peru,From Chavin,"3,00",
ANCYLIDAE,Gundlachia,gayana,F++,5-6,Chile,,2.00,
ASSIMINEIDAE,Assiminea,brevicula,F++,4+,Thailand,,"1,00",
CHILINIDAE,Chilina,bulloides,F++,8-12,Chile,Very uncommon,7.00,
CHILINIDAE,Chilina,ampullacea,F+,25-28,Chile,Ttypical erosion on apex,5.00,
CHILINIDAE,Chilina,fluctuosa,F++,15-18,Chile,,3.00,
CHILINIDAE,Chilina,llanquihuensis,F+,20-30,Chile,Minor typical erosion on apex,5.00,
CHILINIDAE,Chilina,ampullacea,F++,24-27,Chile,Very nice shells,4.00,
CHILINIDAE,Chilina,bullocki,F++,17-19,Chile,,4.00,
CHILINIDAE,Chilina,cf. Dombeyana,F++,22-24,Chile,Cautin River,3.00,
CHILINIDAE,Chilina,dombeyana,F+,17-20,Chile,,3.00,
CHILINIDAE,Chilina,llanquihuensis,F+,14-16,Chile,erosion on apex,3.00,
CHILINIDAE,Chilina,major,F++,,Chile,From Las Mellisas,7.00,
CHILINIDAE,Chilina,minuta,F++,11-12,Chile,"Very Rare, First time offered",10.00,
CHILINIDAE,Chilina,ovalis,F++,9-10,Chile,,4.00,
CHILINIDAE,Chilina,patagonica,F++,12-14,Chile,Rare,10.00,
CHILINIDAE,Chilina,sp1,F++,12-14,Chile,From Icalma,3.00,
CHILINIDAE,Chilina,sp2,F++,12-14,Chile,From Putue,3.00,
CHILINIDAE,Chilina,sp3,F++,17-19,Chile,From Pichilemu,3.00,
CHILINIDAE,Chilina,sp4,F++,10-12,Chile,Bio Bio river,3.00,
CHILINIDAE,Chilina,sp5,F++,22-24,Chile,Pellaifa lake,4.00,
CHILINIDAE,Chilina,sp7,F++,9-10,Chile,From Temuco,5.00,
CHILINIDAE,Chilina,subcylindrica,F++,8-9,Chile,,4.00,
CHILINIDAE,Chilina,sp.8,F++,8-10,Chile,From Panguipulli lake,"3,00",
CHILINIDAE,Chilina,sp.8,F++,12+,Chile,From Panguipulli lake,"5,00",
CHILINIDAE,Chilina,iheringi,F++,11-13,Chile,,"4,00",
HYDROBIIDAE,sadleriana,pannonica,F++,2+,Slovaquia,,3,
LYMNAEIDAE,Lymnaea,diaphana,F++,6-8,Chile,,4.00,
LYMNAEIDAE,Lymnaea,viator,F++,4-5,Chile,,2.00,
PHYSIDAE,Physa,chilensis,F++,11-13,Chile,,"2,00",
PHYSIDAE,Physa,nodulosa,F++,9-10,Chile,,2.00,
PHYSIDAE,Physa,sp1,F++,11-13,Chile,,2.00,
PHYSIDAE,Physa,sp.2,F++,6-7,Chile,Illapel,2.00,
PHYSIDAE,Stenophysa,marmorata,F++,10-11,Uruguay,,2.00,
PLANORBIDAE,Biomphalaria,tenagophila,F++,6-8,Uruguay,,2.00,
PLANORBIDAE,Tropicorbis,schmiererianus,F++,,Chile,Larges,3.00,
PLANORBIDAE,Taphius,sp,F++,5-6,Peru,,"3,00",
PLANORBIDAE,Anisus,leucostoma,F++,3.5-4,Slovakia,,"1,00",
PLEUROCERIDAE,Leptoxis,praerosa,F++,8.9,USA,,"2,00",
PLEUROCERIDAE,Leptoxis,praerosa,F++,10.7-11,USA,,"3,00",
SEMISULCUSPIRIDAE,Biwamelania,nipponica,F++,18-19,Japan,"Endemic to Biwa Lake, typical decollated","20,00",
SEMISULCUSPIRIDAE,Bellamya,trochlearis,F++,21,Tanzania,,"7,00",
THIARIDAE,Thiara,sp,F++,23-25,Peru,,3.00,
VIVIPARIDAE,Bellamya,trochlearis,F+,21-22,Tanzania,"Chipped lip, W/O",8.00,
VIVIPARIDAE,Bellamya,cf. Aeruginosa,F+,41-42,China,,4.00,
VIVIPARIDAE,Cipangopaludina,cathayensis,F+,37-40,China,W/O,3.00,
VIVIPARIDAE,Cipangopaludina,cathayensis,F+,56-57,China,,5.00,
SPHAERIIDAE,Musculium,sp.,F++,6-7,Chile,,3.00,
SPHAERIIDAE,Pisisium,chilense,F++,3-4,Chile,,3.00,
UNIONIDAE,Diplodon,chilensis,F+,30-40,Chile,Erosion on umbos,4.00,
UNIONIDAE,Lanceolaria ,gladiola,F++,151,China,Erosion on umbos,"12,00",
UNIONIDAE,Lepidodesma,languilati,F++,145,China,Large,"15,00",
UNIONIDAE,Lanceolaria ,oxyrhyncha,F++,52+,Japan,,"3,00",
UNIONIDAE,Lanceolaria ,oxyrhyncha,F++,60-65,Japan,"Lake Biwa, endemic",3.50,
POLYPLACOPHORA,Acanthopleura ,echinata,F+,50-55,Chile,,"5,00",
POLYPLACOPHORA,Acanthopleura ,echinata,F+,70-76,Chile,,"8,00",
POLYPLACOPHORA,Acanthopleura ,echinata,F+,80-85,Chile,,"9,00",
POLYPLACOPHORA,Acanthopleura ,echinata,F+,90-95,Chile,,"10,00",
POLYPLACOPHORA,Acanthopleura ,echinata,F+,100+,Chile,,"15,00",
POLYPLACOPHORA,Chaetopleura,peruviana,F+,35.39,Chile,,6.00,
POLYPLACOPHORA,Chiton,cumingsi,F++,35-40,Chile,,3.00,
POLYPLACOPHORA,Chiton,cumingsi,F++,41-45,Chile,,5.00,
POLYPLACOPHORA,Chiton,cumingsi,F++,46-50,Chile,,7.00,
POLYPLACOPHORA,Chiton,granosus,F+,31-37,Chile,,3.00,
POLYPLACOPHORA,Chiton,granosus,F+,40-45,Chile,,5.00,
POLYPLACOPHORA,Chiton,granosus,F+,57,Chile,"Huge, good quality",8.00,
POLYPLACOPHORA,Chiton,striatus,F++,60-63,Chile,"Larges, only 3",6.00,
POLYPLACOPHORA,Chiton,striatus,F++,70-72,Chile,only 1,8.00,
POLYPLACOPHORA,Chiton,striatus,F++,78-79,Chile,only 1,10.00,
POLYPLACOPHORA,Chiton,striatus,F++,85-87,Chile,only 1,"12,00",
POLYPLACOPHORA,Chiton,sp,F+,33-38,Chile,Like Ch. striatus,5.00,
POLYPLACOPHORA,Tonicia ,chilena granifera,F++,30-34,Chile,,5.00,
POLYPLACOPHORA,Tonicia ,chilena granifera,F++,35-38,Chile,,7.00,
POLYPLACOPHORA,Tonicia ,atrata,F++,30-35,Chile,rare in Chile,10.00,
POLYPLACOPHORA,Tonicia ,chilena chiloensis,F++,30-35,Chile,,5.00,
POLYPLACOPHORA,Tonicia ,chilena chiloensis,F++,44-48,Chile,Larges,8.00,
POLYPLACOPHORA,Tonicia ,chilena chiloensis,F++ ,50+,Chile,Huge,10.00,
POLYPLACOPHORA,Chiton,subfuscus,F+,33-35,Chile,Rare,"20,00",
POLYPLACOPHORA,Chiton,sp,F++,8-9,Ecuador,,2.00,
BRACHIOPOD,Lingula,anatina,F++,45+,China,Nice green,5.00,